083,transportatio,n,n-s---fn3-,transportation,,,[t̪raːn̪s.pɔr.'t̪a.t̪ɪ̣.jɔ],transportatio,0
108323,d2329,duodecimanus,n,n-s---mn2-,duodeciman,,,[d̪ʊ.jɔ.d̪ɛ.'kɪ.ma.n̪ʊs],duodecimanus,0
22750,d2395,duritia,n,n-s---fn1-,duriti,,,[duːˈrɪ.ti.a],duritia,1
108639,e0249,elassesco,v,v1spia--3-,,,,[ɛ.las.'sɛs.kɔ],elassesco,0
98378,e8110,etiamtunc,r,rp--------,,,,[ɛ.t̪ɪ̣.'jam.t̪ʊŋk],etiamtunc,0
109446,e1115,euocatoria,n,n-s---fn1-,euocatori,,,[ewɔ.ka.'t̪ɔ.rɪ̣.ja],euocatoria,0
110525,f1349,femoralia,n,n-p---nn3i,femoral,,,[fɛ.mɔ.'ra.lɪ̣.ja],femoralia,0
132526,i1977,insector,v,v1spid--1-,insect insectat -,,28950,[ĩːˈsɛk.tɔr],insector,0
109263,e0893,erisma,n,n-s---nn3-,erismat,,28949,[ɛ.'rɪs.ma],erisma,1
98555,f0655,flauesco,v,v1spia--3-,flauesc - -,,,[fla.'wɛs.kɔ],flauesco,0
110952,f0800,fontana,n,n-s---fn1-,fontan,,,['fɔn̪.t̪a.n̪a],fontana,0
23709,g0608,gremium,n,n-s---nn2-,gremi,,,[ˈɡrɛ.mi.ũ],gremium,1
98731,h0158,hebesco,v,v1spia--3-,hebesc - -,,,[hɛ.'bɛs.kɔ],hebesco,0
112346,h0348,hexeremis,n,n-s---fn3i,hexerem,,,[hɛk.'sɛ.rɛ.mɪs],hexeremis,0
112399,h0400,hinnula,n,n-s---fn1-,hinnul,,,['hɪn̪.n̪ʊ.la],hinnula,0
23808,h0400,hinnulus,n,n-s---mn2-,hinnul,,,['hɪn̪.n̪ʊ.lʊs],hinnulus,1
23825,h0478,hodie,r,rp--------,,,,[ˈhɔ.di.eː],hodie,1
112860,i0065,icterias,n,n-s---fn3-,icteriad,,,[ɪk.'t̪ɛ.rɪ̣.jas],icterias,0
23935,i0414,immunditia,n,n-s---fn1-,immunditi,,,[ɪ.mmʊ.'n̪d̪ɪ.t̪ɪ̣.ja],immunditia,1
99035,i1971,insecabilis,a,aps---cn3i,insecabil insecabil insecabil,,,[iːn̪.sɛ.'ka.bɪ.lɪs],insecabilis,0
