s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
42803,e9017,effascinatio,n,0,n-s---fn3-,effascination,effascinatio
42824,g0069,ganea,n,0,n-s---fn1-,gane,ganea
42849,i2675,inueteratio,n,0,n-s---fn3-,inueteration,inueteratio
42807,l9908,liburnica,n,0,n-s---fn1-,liburnic,liburnica
42782,l0745,ligneolus,a,0,aps---mn1-,ligneol ligneol ligneol,ligneolus
42842,n0011,naufragus,a,0,aps---mn1-,naufrag naufrag naufrag,naufragus
42804,p0533,pastophorium,n,0,n-s---nn2-,pastophori,pastophorium
42847,s1113,semipes,n,0,n-s---mn3-,semiped,semipes
42786,s2001,sorbillo,v,0,v1spia--1-,sorbill sorbillau sorbillat,sorbillo
42810,u1021,unctor,n,0,n-s---mn3-,unctor,unctor
42927,42927,benedictorium,n,0,n-s---nn2-,benedictori,benedictorium
42899,g0694,gyrinus,n,0,n-s---mn2-,gyrin,gyrinus
42933,42933,aride,r,0,rp--------,,aride
42925,a2026,anilito,v,0,v1spia--1-,anilit - anilitat,anilito
42900,a1803,amussium,n,0,n-s---nn2-,amussi,amussium
42905,42905,buttubattum,n,0,n-s---nn2-,buttubatt,buttubattum
42869,42869,calcaneus,n,0,n-s---mn2-,calcane,calcaneus
42864,42864,chamelea,n,0,n-s---fn1-,chamele,chamelea
42902,42902,cogitate,r,0,rp--------,,cogitate
42881,42881,comminister,n,0,n-s---mn2r,comministr,comminister
42928,42928,commistura,n,0,n-s---fn1-,commistur,commistura
42891,42891,conpages,n,0,n-s---fn3-,conpag,conpages
