,06057735,n,10,the executive agency that advises the President on protecting the environment,1820
143618,06512046,n,10,the capital and largest city of Nepal,"1820,2772"
143624,06513590,n,10,a mountainous island in western Indonesia,"1820,2772"
207719,L3105258,n,9,"a province in Hispania Tarraconensis, east of Asturia, in the region of the present Biscaya",2775
143625,06513723,n,10,a mountainous island in eastern Indonesia,"1820,2772"
191189,01651175,a,10,"coated with whitewash: ""miles of whitewashed fences""",
143626,06513848,n,10,the part of Indonesia on the S of the island of Borneo,"1820,2772"
143635,06515545,n,10,an empire in S Asia created by Cyrus the Great in the 6th century BC and destroyed by Alexander the Great in the 4th century BC,"1820,2772"
143639,06516452,n,10,the former name for the geographical area of the eastern Mediterranean that is now occupied by Lebanon and Syria and Israel,2772
143640,06516647,n,10,the ancient kingdom of Phillip II and Alexander the Great in the southeastern Balkans that is now divided among Greece and Bulgaria and the former Yugoslavia,2772
143644,06517616,n,10,the chief city of ancient Mesopotamia and capitol of the ancient kingdom of Babylonia,"1820,2772"
143647,06518296,n,10,an ancient kingdom in northern Mesopotamia,2772
143648,06518449,n,10,an ancient Assyrian city,"1820,2772"
143649,06518544,n,10,an ancient Assyrian city,"1820,2772"
143650,06518641,n,10,an ancient maritime country (a collection of city states) at eastern end of the Mediterranean,2772
143653,06519251,n,10,a string of islands east of Asia,2772
143660,06520843,n,10,the largest island of the central Ryukyu Islands,
143627,06514017,n,10,capital and largest city of Indonesia; located on the island of Java; founded by the Dutch in 17th century,"1820,2772"
143628,06514230,n,10,a city in Indonesia; located on western Java (southeast of Jakarta); a resort known for its climate,"1820,2772"
143630,06514815,n,10,the capital and largest city of Iran; located in northern Iran,"1820,2772"
143631,06514986,n,10,the holy city of Shiite Muslims; located in northeastern Iran,"1820,2772"
143633,06515276,n,10,an ancient city in northwestern Iran; known for hot springs,"1820,2772"
143634,06515407,n,10,a city in northwestern Iran; a place of pilgrimage for Shiite Muslims,"1820,2772"
143636,06515761,n,10,an ancient city that was the capital of the Persian Empire; now in ruins,"1820,2772"
143642,06517217,n,10,a city in northwestern Turkey; a Thracian town that was rebuilt and renamed by the Roman emperor Hadrian,"1820,2772"
143661,06521002,n,10,the chief city in the Syukyu Islands,"1820,2772"
143643,06517421,n,10,the land between the Tigris and Euphrates; site of several ancient civilizations,2772
143651,06518839,n,10,an ancient city state on the north African coast near modern Tunis; founded by Phoenicians; destroyed and rebuilt by Romans; razed by Arabs in 697,"1718,2772"
143654,06519472,n,10,the second larges of the four main islands of Japan; north of Honshu,2772
143655,06519646,n,10,the largest of the four main islands of Japan; between the Sea of Japan and the Pacific Ocean; regarded as the Japanese mainland,2772
143656,06519930,n,10,the southernmost of the four main islands of Japan; contains coal fields,2772
143658,06520317,n,10,a constitutional monarchy occupying a string of islands east of Asia; a world leader in electronics and automobile manufacture and ship building,"1820,2772"
143659,06520625,n,10,the capital and largest city of Japan; the economic and cultural center of Japan,"1820,2772"
143669,06522205,n,10,"a city in southern Japan on Kyushu; a leading port and shipbuilding center; on August 9, 1945 Nagasaki became the second populated area to receive an atomic bomb","1820,2772"
143671,06522745,n,10,a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan,"1820,2772"
143638,06516233,n,10,"capital and largest city of Iraq; located on the Tigris River: ""Baghdad is one of the great cities of the Moslem world""","1820,2772"
143675,06523465,n,10,a republic in eastern Africa; major archeological discoveries have been made in the Great Rift Valley in Kenya,"1820,2772"
143676,06523703,n,10,the capital and largest city of Kenya; a center for tourist safaris,"1820,2772"
143681,06524612,n,10,a republic in western Europe; the largest country wholly in Europe,"1820,2772"
143622,06513176,n,10,an island in Indonesia S of Borneo; one of the world's most densely populated regions,"1820,2772"
143662,06521113,n,10,a chain of 55 islands in the western Pacific southwest of Japan (returned by United States to Japan in 1972),"1820,2772"
143663,06521320,n,10,an industrialized city of S Honshu in Japan on Osaka Bay,"1820,2772"
143666,06521880,n,10,a Japanese city on western Hokkaido,"1820,2772"
143667,06521988,n,10,a Japanese city on northern Kyushu,"1820,2772"
143668,06522098,n,10,a city in southern Japan on Kyushu,"1820,2772"
143670,06522440,n,10,an Arab kingdom in southwestern Asia on the Red Sea,"1820,2772"
143672,06522949,n,10,the capital and largest city of Jordan,"1820,2772"
143677,06523862,n,10,a port in S Kenya on a coral island in a bay of the Indian Ocean,"1820,2772"
143679,06524273,n,10,a seaport on the Persian Gulf and capital of Kuwait,"1820,2772"
143680,06524425,n,10,an ancient region of western Europe that included northern Italy and France and Belgium and part of Germany and the Netherlands,2772
143673,06523078,n,10,Jordan's port; located in southwestern Jordan on the Gulf of Aqaba,"1820,2772"
143684,06526544,n,10,the street in Paris along the south bank of the Seine known for its governmental ministries,1946
143685,06526713,n,10,the region of Paris on the north bank of the Seine,1820
191195,01651993,a,10,"marked by the use of makeup: ""heavily made-up eyes""",
143686,06526839,n,10,island in Paris on the Seine,1820
143687,06526945,n,10,a major avenue in Paris famous for elegant shops and cafes,"1820,1946"
143695,06528285,n,10,the French part of the Riviera,2772
143696,06528409,n,10,a geographical subdivision of France,"1820,2772"
143697,06529028,n,10,a region of northeastern France famous for its wines,"1820,2772"
143698,06529171,n,10,a former province of western France in the Loire valley,"1820,2772"
143689,06527225,n,10,a port and resort city on the French Riviera; site of an annual film festival,"1820,2772"
143690,06527374,n,10,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera,"1820,2772"
143692,06527715,n,10,a city in north central France near Paris; site of the Palace of Versailles that was built by Louis XIV in the 17th century,"1820,2772"
143693,06527914,n,10,a suburb of Paris; site of the international airport serving Paris,"1707,1820"
143707,06530472,n,10,a wooded plateau in the Champagne-Ardenne region of France; the site of intense fighting in World Wars I and II,"2121,2772"
143708,06530676,n,10,a region of France on the island of Corsica; birthplace of Napoleon Bonaparte,"1820,2772"
143709,06530834,n,10,an island in the Mediterranean; with adjacent islets it constitutes a region of France,2772
143717,06531932,n,10,an island in the eastern Caribbean in the Windward Islands; administered as an overseas region of France,2772
143727,06533470,n,10,a former province of north central France; centered around Orleans,"1820,2772"
175072,00905207,v,10,"kill by lying on: ""The sow overlay her piglets""",1781
143729,06533779,n,10,a city in southeastern France on the Mediterranean; the 2nd largest French city and an important seaport,"1820,2772"
143730,06533959,n,10,a former province of east central France; now administered by Rhone-Alpes,2772
143731,06534125,n,10,a city in east-central France on the Rhone River; a principal producer of silk and rayon,"1820,2772"
143738,06535171,n,10,an island state in the West Indies; an independent state within the British Commonwealth,"1820,2772"
143740,06535527,n,10,a republic in eastern Africa on the Atlantic; formerly a French colony,"1820,2772"
143699,06529316,n,10,a region of southwestern France between Bordeaux and the Pyrenees,"1820,2772"
143700,06529468,n,10,a former province of northern France near the English Channel (between Picardy and Flanders),"1820,2772"
143701,06529632,n,10,a region in central France,"1820,2772"
143702,06529732,n,10,a division of Normandy,2772
143703,06529852,n,10,a former province of eastern France that is famous for its wines,"1820,2772"
143704,06530002,n,10,a former province of northwestern France on a peninsula between the English Channel and the Bay of Biscay,"1820,2772"
143705,06530219,n,10,a low-lying region in central France,"1820,2772"
143706,06530327,n,10,a region of northeastern France,"1820,2772"
143710,06531001,n,10,a former province of eastern France,"1820,2772"
143711,06531115,n,10,a region of southwestern France,"1820,2772"
143712,06531230,n,10,a division of Normandy,2772
143713,06531350,n,10,a region of north central France in the Paris Basin,"1820,2772"
143715,06531664,n,10,a region of central France west of the Auvergne mountains,"1820,2772"
143716,06531795,n,10,an eastern French region rich in iron-ore deposits,"1820,2772"
143718,06532130,n,10,a department of northwestern France in the Pays de la Loire region,2772
143719,06532269,n,10,the south of France,"1820,2772"
143720,06532358,n,10,a region in southwestern FRance,"1820,2772"
143721,06532468,n,10,a region in northeastern France,"1820,2772"
143722,06532583,n,10,an agricultural region of western France on the Bay of Biscay,"1820,2772"
143723,06532745,n,10,a region of northern France on the English Channel,"1820,2772"
143724,06532879,n,10,a low-lying region of west central France on the Bay of Biscay,"1820,2772"
143725,06533032,n,10,a mountainous region of eastern France drained by the Rhone and Saone and Isere rivers,"1820,2772"
143732,06534291,n,10,a republic in west central Africa,"1820,2772"
143733,06534441,n,10,the capital of Gabon,"1820,2772"
143734,06534556,n,10,a republic in West Africa,"1820,2772"
143735,06534704,n,10,the capital of Gambia,"1820,2772"
143737,06535044,n,10,the capital and largest city of Ghana,"1820,2772"
143739,06535389,n,10,the capital and largest city of Grenada,"1820,2772"
143741,06535742,n,10,a port and the capital of Guinea,"1820,2772"
143742,06535877,n,10,a republic in Western Africa,"1820,2772"
143743,06536038,n,10,the capital of Guinea-Bissau,"1820,2772"
143688,06527083,n,10,a port city in southwestern France; a major center of the wine trade,"1820,2772"
191208,01653543,a,10,"lending itself to being painted: ""a highly paintable landscape""; ""made of sturdy eminently paintable wood""",
143745,06536354,n,10,a republic in northeastern South America,"1820,2772"
143750,06537737,n,10,an industrial city in the eastern Netherlands,"1820,2772"
143753,06538225,n,10,a city in the central Netherlands,"1820,2772"
143754,06538331,n,10,a republic in central Europe,"1820,2772"
143756,06538708,n,10,a group of 21 volcanic islands in the North Atlantic between Iceland and the Shetland Islands,2772
143757,06538935,n,10,a self-governing colony of Denmark on the Faroe Islands,
143758,06539086,n,10,the administrative center of the Faroe Islands,"1820,2772"
